id,target
0,8.008458
5,8.319012
15,8.397029
16,8.431337
17,8.166466
19,8.269603
20,8.390625
21,7.9359946
23,8.182869
29,8.361928
31,8.247351
32,7.798318
33,8.459994
34,8.250594
35,8.466213
37,8.352079
38,8.231676
39,8.27047
40,8.417287
44,8.036434
49,8.029775
53,8.353455
56,8.109402
60,8.336599
61,7.6096244
63,8.225789
64,8.441248
66,8.476618
70,8.220883
71,8.305366
72,8.54735
75,8.091103
76,8.044615
78,8.243337
85,8.402138
86,7.950457
89,8.445369
90,8.34387
92,7.7919335
93,8.191067
94,8.409387
100,8.098126
101,8.312471
102,8.387632
105,7.898759
106,8.3033085
107,8.252711
108,8.191342
109,8.338359
112,8.422345
113,8.222244
116,8.233745
117,8.322586
118,8.37686
120,8.047354
129,8.355979
130,8.182856
132,8.146513
133,8.419482
134,8.179492
136,8.284052
137,8.269224
141,8.019426
142,8.329791
152,8.016381
154,8.232753
156,8.247173
160,7.856578
161,8.096782
166,8.227711
170,8.237249
173,8.020355
174,7.8672814
175,8.161802
179,8.377631
182,8.117628
186,8.0939665
188,8.306541
189,8.29216
191,8.180125
193,8.292202
194,8.100426
195,8.038922
196,8.018648
197,8.209374
199,8.310978
200,8.066362
202,8.295145
203,8.344745
204,8.376547
206,8.06978
207,8.465607
212,8.014425
217,7.997592
218,8.033748
220,8.665234
224,7.9478173
225,8.253345
229,8.450078
230,8.362554
234,8.113906
235,8.163356
238,8.209482
239,8.4304085
241,8.189653
243,8.086431
245,7.617588
247,8.150937
251,8.333744
252,8.070233
253,8.356218
255,8.248991
256,8.396925
258,8.550178
259,8.480214
260,8.083311
263,7.8042984
264,8.415255
266,8.191467
267,8.257265
268,8.351938
270,8.360296
273,8.161237
274,8.397579
275,8.09227
276,8.008233
277,8.397853
281,8.311864
282,8.207501
285,8.222013
292,8.2048435
293,8.036636
295,8.182546
298,8.188322
299,8.589819
300,8.343862
301,7.9671965
302,7.966165
309,8.1084
311,8.400647
316,8.311591
317,8.070359
319,8.186125
321,8.157562
322,8.282539
324,8.324418
328,7.9726324
329,8.496737
331,8.318622
334,8.171312
337,8.115476
338,8.245634
340,8.481749
344,8.260947
349,7.908498
350,7.736838
351,8.51227
354,8.070246
356,8.318819
358,8.031495
361,8.603169
364,8.278104
365,8.543585
370,7.939044
372,8.258724
374,8.337093
375,7.918007
376,8.294128
379,8.220769
380,8.472719
382,8.121817
383,8.314736
385,8.370053
389,8.352439
392,8.443171
394,8.157585
395,8.448246
398,7.869671
400,8.146538
402,8.402725
403,8.208376
406,8.503342
410,8.110212
412,8.336763
413,8.30131
417,8.068115
418,8.271878
419,8.484124
420,8.205265
423,8.175343
424,8.344019
426,8.372808
427,7.975454
432,8.1317425
434,8.099981
438,8.416231
441,8.26461
443,8.387057
448,8.404658
449,8.337673
451,8.315835
452,8.405069
457,8.575434
458,8.128744
459,8.3405905
464,8.311045
465,8.285371
467,8.183525
471,8.189484
472,7.8731356
477,8.10758
478,8.238014
480,8.2957325
483,8.266378
487,8.258741
489,8.22113
491,8.266703
492,8.133346
496,8.234047
500,8.229268
501,8.129537
502,8.324136
503,8.2012205
505,8.094133
506,7.9413657
514,7.725507
517,7.9860168
519,8.076657
522,8.207174
523,8.393426
528,8.250801
530,8.058709
532,8.115811
535,8.229311
538,8.108378
542,8.381767
546,8.105847
548,7.995341
550,8.135742
555,8.469121
557,8.08781
559,8.135036
560,8.48772
562,8.261598
566,8.284861
567,8.344809
569,8.215048
571,8.387536
572,8.329463
574,8.397227
577,8.225053
581,8.31699
583,8.449003
587,8.224378
590,8.034831
592,8.274284
593,8.317966
608,8.512401
612,8.166902
614,8.394264
616,8.455847
617,8.303798
625,8.238251
626,8.344773
631,7.931653
633,8.159182
636,8.096254
639,8.055532
641,8.07835
642,7.9346666
644,8.291975
645,7.9903846
646,8.54177
647,8.175955
649,8.521407
650,8.421427
651,8.088071
653,8.053085
655,8.253899
656,8.648966
662,8.243404
669,8.2758255
670,8.283163
673,8.400936
674,8.006784
675,7.8506346
685,7.847603
688,8.29025
689,8.220381
690,8.418912
691,8.30694
696,8.3119
698,8.417252
700,8.316641
701,8.204224
702,8.152568
703,8.60302
704,7.765115
706,8.237361
708,8.744034
716,8.387087
717,8.476686
718,8.231016
719,7.8574104
720,8.232984
721,8.279158
723,7.981345
725,7.734105
726,8.238661
728,8.412771
730,7.968969
731,8.186347
734,8.379469
736,8.362382
739,8.2591305
743,8.463071
747,8.312335
749,8.418436
752,7.8619223
759,8.35449
763,7.8541784
764,7.764041
765,8.007208
766,8.452099
769,8.219357
776,8.15229
778,7.866098
783,8.036438
784,8.168391
787,8.423353
791,7.795308
792,8.214991
796,8.461897
799,7.8267922
800,8.14677
801,8.396238
803,8.047351
804,7.9363427
805,8.271799
806,8.243568
807,8.261837
809,8.117388
811,8.27187
813,8.101759
814,8.377698
815,7.8638735
816,8.373375
818,8.174238
822,8.402488
828,8.142193
831,7.785768
832,8.000086
834,7.8952446
835,8.535189
836,8.190448
838,8.281821
839,8.13622
842,8.172208
845,8.342857
846,8.56753
848,8.108095
852,8.080782
856,8.50268
857,8.257166
860,8.216131
869,8.242765
871,8.074524
876,8.430906
885,8.396204
887,8.556325
888,8.388592
889,8.285321
891,7.66716
895,8.34151
902,8.29434
903,8.537436
905,8.046593
907,8.15964
908,8.41485
909,8.265364
910,8.464457
911,8.081149
913,8.514636
914,8.408394
916,7.9698133
917,8.030601
919,8.199652
923,8.342742
924,8.046968
925,8.241615
926,8.468029
929,8.401032
930,8.527104
931,8.270131
936,8.5547495
937,8.299384
947,8.080642
949,8.304312
952,8.101343
955,8.582556
956,8.513605
961,8.267285
963,7.9921465
964,7.858091
966,8.518545
968,8.390645
969,8.127736
971,8.425555
974,8.559772
980,8.286396
981,8.121459
982,8.282454
983,8.245105
984,7.944252
986,8.177339
992,8.441526
993,8.079911
994,8.338144
998,8.224917
999,7.9276094
1004,8.58546
1006,8.056463
1007,8.140563
1011,8.824461
1012,8.050211
1014,8.031862
1020,8.445684
1021,8.359995
1023,8.04559
1025,7.9727454
1026,8.186953
1027,8.123672
1033,8.14411
1034,8.395514
1038,8.131691
1040,8.29195
1043,8.283178
1045,8.370935
1046,8.2033415
1048,8.318037
1049,8.261034
1052,8.335375
1054,8.262736
1055,7.925091
1056,8.200941
1058,8.267512
1060,8.586093
1064,8.078364
1067,7.9661775
1069,8.262697
1070,8.125921
1072,8.344963
1077,8.4240265
1082,8.332256
1086,8.473629
1091,8.423368
1093,8.380018
1097,8.169603
1101,8.364176
1104,8.172572
1106,8.2651005
1107,8.255294
1109,8.613448
1113,7.872743
1115,8.020887
1119,8.242625
1120,7.85135
1123,8.381745
1131,8.30023
1132,8.235958
1134,8.451797
1136,8.357962
1137,8.5703535
1138,8.314599
1139,8.08338
1141,8.117617
1143,7.9264197
1144,7.979441
1145,8.122534
1149,8.37841
1150,8.238877
1153,8.30367
1155,8.041586
1160,8.433962
1163,7.8564596
1165,8.355036
1166,8.231473
1169,8.390493
1172,8.349948
1173,8.286181
1175,8.200147
1177,8.289751
1182,8.334012
1184,8.13228
1186,8.178473
1188,8.358201
1193,8.488358
1196,8.193325
1198,8.634729
1199,7.9140725
1202,8.270145
1203,8.475382
1208,8.128606
1210,8.280223
1211,8.024088
1213,8.18078
1221,8.224908
1222,8.359556
1226,8.40624
1227,8.214189
1229,8.030797
1230,8.488483
1231,8.177146
1232,8.644545
1233,8.129972
1234,8.655273
1236,8.048399
1237,8.189155
1241,8.484395
1242,8.122702
1243,8.167575
1247,8.000372
1250,8.311605
1251,8.443602
1254,8.344336
1258,8.4483595
1259,8.055014
1260,8.261329
1262,8.50815
1265,8.455383
1267,8.061812
1268,8.185739
1270,8.346799
1271,8.157109
1272,8.404986
1275,7.969284
1276,8.211375
1278,8.500956
1281,8.188358
1282,8.0136175
1283,8.268202
1284,8.454237
1286,8.276051
1288,8.438174
1291,8.440505
1293,8.540038
1294,8.212491
1295,8.190863
1299,8.256548
1301,8.225479
1302,8.294924
1303,8.184079
1306,8.178854
1308,8.2954035
1310,8.335507
1311,7.895468
1314,8.154757
1317,8.081476
1319,7.98981
1323,8.334867
1325,8.127154
1331,8.002047
1332,7.96603
1335,8.43961
1337,7.920021
1338,8.342313
1340,7.9620285
1341,8.138165
1343,8.141989
1345,8.424097
1346,8.343155
1347,8.153299
1349,8.23716
1351,8.377728
1357,8.227155
1364,8.598218
1365,7.9753084
1366,7.9404974
1369,8.08173
1371,8.362463
1373,8.164363
1382,8.372415
1385,8.346975
1386,8.077432
1389,8.2736225
1392,8.291361
1394,8.131345
1398,8.187968
1400,8.102114
1401,8.415436
1403,8.293718
1405,8.051509
1406,8.243256
1413,8.0572
1414,8.201409
1415,8.201023
1420,8.19805
1421,8.335837
1423,8.0107975
1426,8.100084
1427,8.146226
1428,8.26868
1429,8.357567
1430,8.233111
1431,8.174738
1432,8.412577
1434,8.267775
1435,8.183947
1436,8.399859
1439,8.376902
1443,8.533756
1444,8.0006695
1445,8.366349
1447,8.125067
1450,7.8197594
1451,8.200869
1452,8.57399
1453,8.582216
1454,8.321391
1455,8.4409895
1457,8.340634
1459,8.008397
1466,8.215685
1467,8.281879
1468,8.460587
1469,8.513353
1472,8.163081
1475,8.327171
1476,8.032176
1477,8.092446
1483,8.165215
1484,8.210947
1485,8.404774
1488,8.073572
1491,8.449376
1494,8.125399
1498,8.113394
1502,8.074488
1503,8.122497
1506,8.1733
1509,8.386218
1511,8.029729
1516,8.498953
1518,8.33077
1519,8.068533
1523,8.041334
1526,8.154794
1532,8.367811
1535,8.0614395
1538,8.211678
1539,8.000801
1541,8.485563
1543,8.05448
1544,8.364128
1546,8.223635
1547,8.183501
1548,8.172211
1555,8.274038
1556,8.430866
1558,8.603247
1559,8.406975
1561,8.403876
1562,8.337815
1564,8.236692
1567,8.147301
1568,8.0227585
1569,8.44034
1575,8.416956
1576,8.0086355
1578,8.205258
1583,8.402348
1584,8.405065
1587,8.503474
1595,8.304993
1596,8.298464
1597,8.44946
1601,8.25751
1604,8.281988
1611,8.112722
1613,8.077811
1615,8.190097
1616,8.37214
1620,8.406122
1622,8.1024065
1626,8.175453
1628,8.213797
1629,8.262889
1633,8.000835
1635,8.221048
1636,8.302724
1637,8.088806
1640,8.411311
1642,7.9308066
1643,8.287676
1644,8.107025
1646,8.132048
1647,8.17651
1648,8.1904125
1654,8.149617
1657,8.096065
1658,8.50211
1661,8.368536
1668,8.202393
1669,8.063929
1670,8.299002
1672,8.389107
1675,8.558528
1676,8.352575
1678,8.413004
1679,8.144611
1684,8.126787
1686,8.605448
1691,8.243308
1692,8.088016
1697,8.037941
1699,8.237476
1700,8.243548
1703,8.427716
1704,7.9776344
1707,7.775885
1708,8.280463
1711,8.094774
1713,8.268679
1714,8.107805
